,MeanOperations,
Array Size, ONE, TWO
140,39200,19460
150,45000,22350
160,51200,25440
170,57800,28730
180,64800,32220
190,72200,35910
200,80000,39800
210,88200,43890
220,96800,48180
230,105800,52670
240,115200,57360
250,125000,62250
260,135200,67340
270,145800,72630
280,156800,78120
290,168200,83810
300,180000,89700
310,192200,95790
320,204800,102080
330,217800,108570
340,231200,115260
350,245000,122150
360,259200,129240
370,273800,136530
380,288800,144020
390,304200,151710
400,320000,159600
410,336200,167690
420,352800,175980
430,369800,184470
440,387200,193160
450,405000,202050
460,423200,211140
470,441800,220430
480,460800,229920
490,480200,239610
500,500000,249500
510,520200,259590
520,540800,269880
530,561800,280370
540,583200,291060
550,605000,301950
560,627200,313040
570,649800,324330
580,672800,335820
590,696200,347510
600,720000,359400
610,744200,371490
620,768800,383780
630,793800,396270
640,819200,408960
650,845000,421850
660,871200,434940
670,897800,448230
680,924800,461720
690,952200,475410
700,980000,489300
710,1008200,503390
720,1036800,517680
730,1065800,532170
740,1095200,546860
750,1125000,561750
760,1155200,576840
770,1185800,592130
780,1216800,607620
790,1248200,623310
800,1280000,639200
810,1312200,655290
820,1344800,671580
830,1377800,688070
840,1411200,704760
850,1445000,721650
860,1479200,738740
870,1513800,756030
880,1548800,773520
890,1584200,791210
900,1620000,809100
910,1656200,827190
920,1692800,845480
930,1729800,863970
940,1767200,882660
950,1805000,901550
960,1843200,920640
970,1881800,939930
980,1920800,959420
990,1960200,979110
1000,2000000,999000
1010,2040200,1019090
1020,2080800,1039380
1030,2121800,1059870
1040,2163200,1080560
1050,2205000,1101450
1060,2247200,1122540
1070,2289800,1143830
1080,2332800,1165320
1090,2376200,1187010
1100,2420000,1208900
1110,2464200,1230990
1120,2508800,1253280
1130,2553800,1275770
1140,2599200,1298460
1150,2645000,1321350
1160,2691200,1344440
1170,2737800,1367730
1180,2784800,1391220
1190,2832200,1414910
1200,2880000,1438800
1210,2928200,1462890
1220,2976800,1487180
1230,3025800,1511670
1240,3075200,1536360
1250,3125000,1561250
1260,3175200,1586340
1270,3225800,1611630
1280,3276800,1637120
1290,3328200,1662810
1300,3380000,1688700
1310,3432200,1714790
1320,3484800,1741080
1330,3537800,1767570
1340,3591200,1794260
1350,3645000,1821150
1360,3699200,1848240
1370,3753800,1875530
