,Mean Time Elapsed, 
Array Size, ONE, TWO
4960,0.246745,0.124066
4970,0.245142,0.126123
4980,0.252858,0.126656
4990,0.245241,0.123122
5000,0.251249,0.125123
5010,0.249246,0.124125
5020,0.253249,0.125171
5030,0.247383,0.124122
5040,0.259755,0.126612
5050,0.25377,0.127126
5060,0.252248,0.127011
5070,0.25013,0.127825
5080,0.253088,0.126028
5090,0.251136,0.125123
5100,0.252883,0.126624
5110,0.252253,0.127666
5120,0.25425,0.127666
5130,0.287006,0.182907
5140,0.310859,0.178175
5150,0.360331,0.17834
5160,0.278774,0.130629
5170,0.268262,0.134635
5180,0.274271,0.132128
5190,0.267084,0.131133
5200,0.264869,0.135633
5210,0.26426,0.136132
5220,0.270271,0.136134
5230,0.273275,0.136133
5240,0.271266,0.13413
5250,0.275272,0.136659
5260,0.274771,0.137133
5270,0.273094,0.139634
5280,0.272272,0.13614
5290,0.276314,0.139136
5300,0.276272,0.138134
5310,0.286282,0.141144
5320,0.276273,0.141288
5330,0.291007,0.141139
5340,0.302486,0.14064
5350,0.282278,0.141645
5360,0.279281,0.13914
5370,0.285282,0.143138
5380,0.284278,0.14314
5390,0.282783,0.142143
5400,0.284286,0.14314
5410,0.284283,0.144141
5420,0.286784,0.143148
5430,0.290288,0.14514
5440,0.292295,0.146148
5450,0.290788,0.146145
5460,0.291289,0.145644
5470,0.292289,0.146649
5480,0.292318,0.146702
5490,0.292589,0.148846
5500,0.295548,0.148649
5510,0.297891,0.14786
5520,0.300113,0.149152
5530,0.301298,0.159659
5540,0.300729,0.150648
5550,0.307306,0.152152
5560,0.3033,0.150147
5570,0.304304,0.154155
5580,0.301387,0.151145
5590,0.303303,0.154151
5600,0.302298,0.154641
5610,0.3038,0.154645
5620,0.306309,0.153154
5630,0.309308,0.154145
5640,0.310308,0.154155
5650,0.309846,0.155656
5660,0.314314,0.159143
5670,0.314814,0.157658
5680,0.315312,0.158159
5690,0.31531,0.159157
5700,0.321321,0.16016
5710,0.320365,0.161659
5720,0.318319,0.159658
5730,0.324373,0.16211
5740,0.322402,0.164167
5750,0.325319,0.161162
5760,0.323322,0.164195
5770,0.32232,0.162161
5780,0.322822,0.163158
5790,0.329329,0.16416
5800,0.325824,0.163712
5810,0.327831,0.164163
5820,0.332834,0.167667
5830,0.334833,0.167666
5840,0.333834,0.167167
5850,0.335379,0.169666
5860,0.338346,0.170165
5870,0.338197,0.169667
5880,0.33584,0.169563
5890,0.335641,0.170334
5900,0.337364,0.169661
5910,0.34033,0.168667
5920,0.340339,0.170175
5930,0.342338,0.170165
5940,0.345418,0.173673
5950,0.345346,0.173673
5960,0.346357,0.174167
5970,0.354348,0.174175
5980,0.352344,0.174673
5990,0.352351,0.17768
6000,0.35235,0.176176
6010,0.349374,0.17818
6020,0.353356,0.180181
6030,0.357854,0.179179
6040,0.357436,0.178679
6050,0.35836,0.179179
6060,0.356706,0.179682
6070,0.359356,0.179178
6080,0.36236,0.182183
6090,0.365525,0.182683
6100,0.366367,0.182262
6110,0.361859,0.181683
6120,0.363364,0.184182
6130,0.368362,0.186184
6140,0.370982,0.186668
6150,0.370867,0.186189
6160,0.372866,0.188186
6170,0.373372,0.18818
6180,0.37387,0.189189
6190,0.373871,0.186187
6200,0.375376,0.1892
6210,0.378376,0.188854
6220,0.376729,0.18873
6230,0.377376,0.188687
6240,0.378875,0.190188
6250,0.377372,0.189192
6260,0.380381,0.189183
6270,0.383381,0.19069
6280,0.383374,0.190186
6290,0.385383,0.192692
6300,0.384375,0.194192
6310,0.383385,0.194195
6320,0.389385,0.195694
6330,0.390386,0.198196
6340,0.391888,0.196198
6350,0.399401,0.2002
6360,0.396396,0.200197
6370,0.400468,0.2012
6380,0.400399,0.2022
6390,0.401394,0.202707
6400,0.399899,0.199701
6410,0.398889,0.200195
6420,0.402404,0.201551
6430,0.399752,0.202281
6440,0.403398,0.203102
6450,0.408407,0.204205
6460,0.410016,0.204708
6470,0.413409,0.205204
6480,0.411468,0.207204
6490,0.416003,0.208722
6500,0.411477,0.20811
6510,0.416145,0.207918
6520,0.420175,0.208748
6530,0.417415,0.20871
6540,0.413463,0.210207
6550,0.421416,0.213216
6560,0.419425,0.212697
6570,0.423988,0.212205
6580,0.424423,0.212208
6590,0.422413,0.211713
6600,0.424424,0.21121
6610,0.422428,0.213212
6620,0.423421,0.215225
6630,0.42342,0.215212
6640,0.427426,0.215217
6650,0.440149,0.217705
6660,0.433931,0.215211
6670,0.441436,0.218216
6680,0.440095,0.216726
6690,0.43401,0.219212
6700,0.436475,0.219284
6710,0.436435,0.219233
6720,0.440011,0.224723
6730,0.448953,0.221717
6740,0.442438,0.223234
6750,0.454265,0.227727
6760,0.452446,0.22522
6770,0.44645,0.222223
6780,0.447519,0.221726
6790,0.447445,0.225128
6800,0.449448,0.22873
6810,0.451449,0.231229
6820,0.466197,0.232729
6830,0.464461,0.235231
6840,0.460496,0.234736
6850,0.468315,0.239762
6860,0.46396,0.231229
6870,0.456465,0.232224
6880,0.46546,0.235231
6890,0.466471,0.23178
6900,0.468471,0.235234
6910,0.468022,0.233727
6920,0.469471,0.237737
6930,0.46947,0.237238
6940,0.47455,0.23724
6950,0.476373,0.241849
6960,0.481671,0.240298
6970,0.480543,0.242742
6980,0.486336,0.247247
6990,0.480478,0.242241
7000,0.47948,0.242259
